Number,Biome,GEZ_TERM,Region,Site,Species/forest type,Latitude,Longitude,"Mean annual temperature, °C","Mean annual precipitation, mm","Above-ground biomass carbon density (BCDa), Mg C ha-1","Living biomass carbon density (BCDl), Mg C ha-1","Total biomass carbon density (BCDt), Mg C ha-1",Stand age,BCDa/BCDl,BCDa/BCDt,Reference 1,Method used to determine tree age,Reference 2,Reference 3,Reference 4,
270,Tropical,Tropical rainforest,Africa,Liberia,,5.41 ,-7.60 ,25.9 ,2299 ,177.3 ,,,,,,"Lewis et al., 2009",,,,,
271,Tropical,Tropical rainforest,Africa,Liberia,,5.41 ,-7.60 ,25.9 ,2319 ,178.8 ,,,,,,"Lewis et al., 2009",,,,,
272,Tropical,Tropical rainforest,Africa,Liberia,,5.41 ,-7.59 ,25.9 ,2299 ,181.2 ,,,,,,"Lewis et al., 2009",,,,,
273,Tropical,Tropical rainforest,Africa,Liberia,,5.39 ,-7.59 ,25.8 ,2315 ,199.4 ,,,,,,"Lewis et al., 2009",,,,,
274,Tropical,Tropical rainforest,Africa,Liberia,,5.40 ,-7.62 ,25.9 ,2350 ,204.9 ,,,,,,"Lewis et al., 2009",,,,,
275,Tropical,Tropical rainforest,Africa,Liberia,,5.40 ,-7.61 ,25.9 ,2319 ,212.9 ,,,,,,"Lewis et al., 2009",,,,,
276,Tropical,Tropical rainforest,Africa,Liberia,,5.39 ,-7.62 ,25.8 ,2353 ,213.1 ,,,,,,"Lewis et al., 2009",,,,,
277,Tropical,Tropical rainforest,Africa,Liberia,,5.41 ,-7.62 ,25.9 ,2338 ,227.4 ,,,,,,"Lewis et al., 2009",,,,,
278,Tropical,Tropical rainforest,Africa,Liberia,,5.39 ,-7.62 ,25.8 ,2353 ,232.4 ,,,,,,"Lewis et al., 2009",,,,,
279,Tropical,Tropical rainforest,Africa,Liberia,,5.40 ,-7.59 ,25.8 ,2324 ,233.5 ,,,,,,"Lewis et al., 2009",,,,,
280,Tropical,Tropical rainforest,Africa,Liberia,,5.41 ,-7.63 ,25.9 ,2338 ,235.2 ,,,,,,"Lewis et al., 2009",,,,,
281,Tropical,Tropical rainforest,Africa,Liberia,,5.39 ,-7.62 ,25.9 ,2350 ,238.1 ,,,,,,"Lewis et al., 2009",,,,,
282,Tropical,Tropical rainforest,Africa,Liberia,,5.40 ,-7.61 ,25.9 ,2329 ,249.1 ,,,,,,"Lewis et al., 2009",,,,,
283,Tropical,Tropical rainforest,Africa,Liberia,,6.19 ,-8.18 ,26.4 ,1958 ,174.0 ,,,,,,"Lewis et al., 2009",,,,,
284,Tropical,Tropical rainforest,Africa,Liberia,,6.19 ,-8.18 ,26.4 ,1958 ,185.7 ,,,,,,"Lewis et al., 2009",,,,,
285,Tropical,Tropical rainforest,Africa,Liberia,,6.19 ,-8.18 ,26.4 ,1958 ,207.2 ,,,,,,"Lewis et al., 2009",,,,,
286,Tropical,Tropical rainforest,Africa,Liberia,,6.19 ,-8.18 ,26.4 ,1958 ,219.9 ,,,,,,"Lewis et al., 2009",,,,,
287,Tropical,Tropical rainforest,Africa,Nigeria,,5.30 ,8.48 ,26.1 ,2612 ,183.8 ,,,,,,"Lewis et al., 2009",,,,,
288,Tropical,Tropical rainforest,Africa,Nigeria,,5.30 ,8.49 ,26.1 ,2612 ,332.9 ,,,,,,"Lewis et al., 2009",,,,,
289,Tropical,Tropical rainforest,Africa,Nigeria,,5.30 ,8.47 ,26.0 ,2601 ,347.3 ,,,,,,"Lewis et al., 2009",,,,,
290,Tropical,Tropical moist deciduous forest,Africa,Tanzania,,-8.59 ,35.87 ,23.7 ,1461 ,83.0 ,,,,,,"Lewis et al., 2009",,,,,
291,Tropical,Tropical moist deciduous forest,Africa,Tanzania,,-8.59 ,35.87 ,23.7 ,1461 ,94.8 ,,,,,,"Lewis et al., 2009",,,,,
292,Tropical,Tropical rainforest,Africa,Uganda,,0.22 ,32.30 ,21.3 ,1286 ,285.1 ,,,,,,"Lewis et al., 2009",,,,,
293,Tropical,Tropical rainforest,Africa,Uganda,,0.50 ,30.42 ,20.0 ,1315 ,390.4 ,,,,,,"Lewis et al., 2009",,,,,
294,Tropical,Tropical rainforest,Africa,Uganda,,1.72 ,31.50 ,23.0 ,1326 ,384.6 ,,,,,,"Lewis et al., 2009",,,,,
295,Subtropical,Subtropical humid forest,Asia,"Gushan, Fuzhou, Fujian, China","Pinus armandii, P. taiwanensis, P. densada",26.00 ,119.30 ,14.3 ,1803 ,88.5 ,106.31 ,,102 ,0.83 ,,"Luo, 1996",Tree rings,,,,
296,Subtropical,Subtropical humid forest,Asia,"Wanmujing, Jian'ou, Fujian, China",,27.10 ,118.10 ,17.1 ,1620 ,168.3 ,195.96 ,,120 ,0.86 ,,"Luo, 1996",Tree rings,,,,
297,Subtropical,Subtropical humid forest,Asia,"Maodi, Nanping, Fujian, China",,26.70 ,118.00 ,15.1 ,1973 ,239.4 ,282.63 ,,200 ,0.85 ,,"Luo, 1996",Tree rings,,,,
298,Subtropical,Subtropical humid forest,Asia,"Lingxia, Pingnan, Fujian, China","Pinus armandii, P. taiwanensis, P. densada",27.00 ,118.90 ,13.1 ,2205 ,101.0 ,124.25 ,,160 ,0.81 ,,"Luo, 1996",Tree rings,,,,
299,Subtropical,Subtropical humid forest,Asia,"Xinkou, Sanming, Fujian, China",,26.10 ,117.40 ,17.7 ,1713 ,234.7 ,275.09 ,,99 ,0.85 ,,"Luo, 1996",Tree rings,,,,
300,Subtropical,Subtropical humid forest,Asia,"Dabugang, Shaowu, Fujian, China",,27.10 ,117.30 ,12.7 ,2204 ,104.5 ,125.81 ,,114 ,0.83 ,,"Luo, 1996",Tree rings,,,,
301,Subtropical,Subtropical humid forest,Asia,"Shuibei, Shaowu, Fujian, China",,27.30 ,117.40 ,16.8 ,1617 ,216.7 ,252.10 ,,115 ,0.86 ,,"Luo, 1996",Tree rings,,,,
302,Subtropical,Subtropical humid forest,Asia,"Weiminsheshan, Shaowu, Fujian, China",,27.00 ,117.60 ,17.1 ,1636 ,212.7 ,247.83 ,,80 ,0.86 ,,"Luo, 1996",Tree rings,,,,
303,Temperate,Temperate mountain system,Asia,"Malu, Zhuoni, Gansu, China","Picea, Abies",34.60 ,103.50 ,1.0 ,741 ,87.2 ,116.51 ,,96 ,0.75 ,,"Luo, 1996",Tree rings,,,,
304,Subtropical,Subtropical humid forest,Asia,"Dinghushan, Guangdong, China",,23.13 ,112.58 ,21.2 ,1713 ,146.0 ,212.74 ,,200 ,0.69 ,,"Luo, 1996",Tree rings,,,,
305,Subtropical,Subtropical humid forest,Asia,"Heishiding, Guangdong, China",,23.45 ,111.88 ,20.5 ,1735 ,140.6 ,176.76 ,,100 ,0.80 ,,"Luo, 1996",Tree rings,,,,
306,Subtropical,Subtropical humid forest,Asia,"Baisha, Hepu, Guangxi, China",,21.70 ,109.60 ,23.8 ,1581 ,200.2 ,265.87 ,,97 ,0.75 ,,"Luo, 1996",Tree rings,,,,
307,Subtropical,Subtropical humid forest,Asia,"Mati, Longsheng, Guangxi, China",Pinus massoniana,25.90 ,110.10 ,18.5 ,1508 ,106.8 ,121.54 ,,101 ,0.88 ,,"Luo, 1996",Tree rings,,,,
308,Subtropical,Subtropical humid forest,Asia,"Hekou, Ziyuan, Guangxi, China",,25.70 ,110.00 ,18.4 ,1553 ,165.5 ,194.04 ,,81 ,0.85 ,,"Luo, 1996",Tree rings,,,,
309,Subtropical,Subtropical humid forest,Asia,"Mengguan, Guiyang, Guizhou, China",,26.40 ,106.70 ,14.9 ,1214 ,92.0 ,136.18 ,,87 ,0.68 ,,"Luo, 1996",Tree rings,,,,
310,Subtropical,Subtropical humid forest,Asia,"Kuankuoshui, Zunyi, Guizhou, China",,28.20 ,107.00 ,10.9 ,1155 ,145.4 ,184.94 ,,80 ,0.79 ,,"Luo, 1996",Tree rings,,,,
311,Subtropical,Subtropical humid forest,Asia,"Lengzhushan, Leishan, Guizhou, China",,26.30 ,108.00 ,9.9 ,1416 ,79.7 ,100.47 ,,80 ,0.79 ,,"Luo, 1996",Tree rings,,,,
312,Subtropical,Subtropical humid forest,Asia,"Karst Forest region, Maolan, Guizhou, China",,25.25 ,107.98 ,17.2 ,1210 ,44.6 ,78.05 ,,100 ,0.57 ,,"Luo, 1996",Tree rings,,,,
313,Subtropical,Subtropical humid forest,Asia,"Tianzhu, Guizhou, China",,27.10 ,109.02 ,14.8 ,1337 ,118.8 ,156.67 ,,110 ,0.76 ,,"Luo, 1996",Tree rings,,,,
314,Subtropical,Subtropical humid forest,Asia,"Baizhiba, Tongzi, Guizhou, China",,28.10 ,106.80 ,8.8 ,1170 ,136.4 ,181.96 ,,121 ,0.75 ,,"Luo, 1996",Tree rings,,,,
315,Subtropical,Subtropical humid forest,Asia,"Xishui, Guizhou, China",,28.50 ,106.32 ,12.5 ,1136 ,65.4 ,78.64 ,,80 ,0.83 ,,"Luo, 1996",Tree rings,,,,
316,Tropical,Tropical mountain system,Asia,"Jianfengling, Hainan, China",,18.62 ,104.68 ,22.6 ,2206 ,220.5 ,254.83 ,,93 ,0.87 ,,"Luo, 1996",Tree rings,,,,
317,Tropical,Tropical moist deciduous forest,Asia,"Limushan, Hainan, China",,19.23 ,109.82 ,21.9 ,2366 ,246.3 ,286.43 ,,110 ,0.86 ,,"Luo, 1996",Tree rings,,,,
318,Temperate,Temperate continental forest,Asia,"Chaihe, Heilongjiang, China",,44.70 ,129.70 ,2.9 ,696 ,78.0 ,121.11 ,,181 ,0.64 ,,"Luo, 1996",Tree rings,,,,
319,Temperate,Temperate continental forest,Asia,"Dahailin, Heilongjiang, China",Larix,44.30 ,129.40 ,1.4 ,732 ,93.7 ,120.37 ,,114 ,0.78 ,,"Luo, 1996",Tree rings,,,,
320,Temperate,Temperate continental forest,Asia,"Dahailin, Heilongjiang, China","Populus, Betula",44.30 ,128.40 ,3.4 ,682 ,55.3 ,72.74 ,,89 ,0.76 ,,"Luo, 1996",Tree rings,,,,
321,Boreal,Boreal coniferous forest,Asia,"Tahe, Daxing'anling, Heilongjiang, China",Pinus sylvestris var. mongolica,52.30 ,124.70 ,-4.1 ,515 ,53.0 ,63.72 ,,134 ,0.83 ,,"Luo, 1996",Tree rings,,,,
322,Boreal,Boreal coniferous forest,Asia,"Tahe, Daxing'anling, Heilongjiang, China",Larix,52.30 ,124.70 ,-4.4 ,524 ,34.0 ,43.42 ,,111 ,0.78 ,,"Luo, 1996",Tree rings,,,,
323,Temperate,Temperate continental forest,Asia,"Leizi, Dailing, Heilongjiang, China",,47.00 ,129.00 ,1.7 ,545 ,37.1 ,52.39 ,,101 ,0.71 ,,"Luo, 1996",Tree rings,,,,
324,Temperate,Temperate continental forest,Asia,"Leizi, Dailing, Heilongjiang, China",,47.00 ,129.00 ,1.7 ,545 ,37.1 ,52.39 ,,101 ,0.71 ,,"Luo, 1996",Tree rings,,,,
325,Temperate,Temperate continental forest,Asia,"Liangshui, Donglin, Heilongjiang, China",,46.50 ,131.80 ,1.5 ,654 ,65.9 ,96.81 ,,124 ,0.68 ,,"Luo, 1996",Tree rings,,,,
326,Boreal,Boreal coniferous forest,Asia,"Hanjiayuan, Huma, Heilongjiang, China",Pinus sylvestris var. mongolica,51.70 ,126.60 ,-4.6 ,519 ,38.8 ,49.61 ,,84 ,0.78 ,,"Luo, 1996",Tree rings,,,,
327,Boreal,Boreal coniferous forest,Asia,"Huma, Heilongjiang, China",,51.70 ,126.60 ,-3.3 ,471 ,32.0 ,41.78 ,,120 ,0.77 ,,"Luo, 1996",Tree rings,,,,
328,Temperate,Temperate continental forest,Asia,"Dumuhe, Hulin, Heilongjiang, China",,46.30 ,133.50 ,1.9 ,721 ,71.9 ,104.85 ,,191 ,0.69 ,,"Luo, 1996",Tree rings,,,,
329,Temperate,Temperate continental forest,Asia,"Wandashan, Hulin, Heilongjiang, China",,45.80 ,132.90 ,2.7 ,732 ,43.5 ,53.08 ,,84 ,0.82 ,,"Luo, 1996",Tree rings,,,,
330,Temperate,Temperate continental forest,Asia,"Wandashan, Hulin, Heilongjiang, China",,45.80 ,132.90 ,2.5 ,730 ,72.0 ,103.55 ,,204 ,0.70 ,,"Luo, 1996",Tree rings,,,,
331,Temperate,Temperate continental forest,Asia,"Liangshui, Heilongjiang, China",Larix,46.50 ,131.80 ,0.5 ,643 ,57.6 ,69.64 ,,108 ,0.83 ,,"Luo, 1996",Tree rings,,,,
332,Boreal,Boreal coniferous forest,Asia,"Fukeshan, Mohe, Heilongjiang, China",Pinus sylvestris var. mongolica,52.70 ,122.00 ,-4.2 ,528 ,49.1 ,61.30 ,,93 ,0.80 ,,"Luo, 1996",Tree rings,,,,
333,Boreal,Boreal coniferous forest,Asia,"Maniqi, Mohe, Heilongjiang, China",Pinus sylvestris var. mongolica,53.00 ,122.40 ,-4.8 ,561 ,56.6 ,70.37 ,,150 ,0.81 ,,"Luo, 1996",Tree rings,,,,
334,Temperate,Temperate continental forest,Asia,"Wudaogou, Heilongjiang, China",Pinus sylvestris var. mongolica,50.20 ,126.40 ,-4.7 ,497 ,60.4 ,72.92 ,,180 ,0.83 ,,"Luo, 1996",Tree rings,,,,
335,Boreal,Boreal coniferous forest,Asia,"Eerguna, Neimenggu, China",Pinus sylvestris var. mongolica,50.80 ,121.50 ,-3.9 ,463 ,47.9 ,57.63 ,,130 ,0.83 ,,"Luo, 1996",Tree rings,,,,
336,Boreal,Boreal coniferous forest,Asia,"Eerguna, Hulunbeier, Neimenggu, China",Pinus sylvestris var. mongolica,52.60 ,120.60 ,-5.1 ,556 ,48.7 ,61.04 ,,90 ,0.80 ,,"Luo, 1996",Tree rings,,,,
337,Boreal,Boreal coniferous forest,Asia,"Qiqian, Hulunbeier, Neimenggu, China",Pinus sylvestris var. mongolica,52.20 ,120.80 ,-3.9 ,498 ,64.6 ,76.53 ,,171 ,0.84 ,,"Luo, 1996",Tree rings,,,,
338,Temperate,Temperate continental forest,Asia,"Dahailin, Heilongjiang, China","Picea, Abies",44.30 ,129.40 ,0.4 ,744 ,82.2 ,97.02 ,,131 ,0.85 ,,"Luo, 1996",Tree rings,,,,
339,Boreal,Boreal coniferous forest,Asia,"Mengkeshan, Tahe, Heilongjiang, China","Picea, Abies",52.60 ,124.20 ,-6.6 ,623 ,54.9 ,64.10 ,,80 ,0.86 ,,"Luo, 1996",Tree rings,,,,
340,Boreal,Boreal coniferous forest,Asia,"Weidong, Tahe, Heilongjiang, China","Picea, Abies",52.30 ,124.70 ,-4.2 ,519 ,86.0 ,102.33 ,,100 ,0.84 ,,"Luo, 1996",Tree rings,,,,
341,Temperate,Temperate continental forest,Asia,"Dafeng, Yichun, Heilongjiang, China","Picea, Abies",47.70 ,128.90 ,-0.9 ,470 ,88.2 ,101.68 ,,104 ,0.87 ,,"Luo, 1996",Tree rings,,,,
342,Subtropical,Subtropical humid forest,Asia,"Xiaoshennongjia, Badong, Hubei, China","Picea, Abies",31.00 ,110.30 ,1.6 ,1937 ,55.3 ,63.38 ,,87 ,0.87 ,,"Luo, 1996",Tree rings,,,,
343,Subtropical,Subtropical mountain system,Asia,"Dashennongjia, Fangxian, Hubei, China","Picea, Abies",32.00 ,110.70 ,1.0 ,1784 ,54.8 ,62.71 ,,159 ,0.87 ,,"Luo, 1996",Tree rings,,,,
344,Subtropical,Subtropical mountain system,Asia,"Shennongjia, Hubei, China","Picea, Abies",31.70 ,110.60 ,1.5 ,1811 ,53.5 ,61.50 ,,151 ,0.87 ,,"Luo, 1996",Tree rings,,,,
345,Subtropical,Subtropical mountain system,Asia,"Dashennongjia, Xingshan, Hubei, China","Picea, Abies",31.20 ,110.70 ,1.9 ,1919 ,33.7 ,38.61 ,,125 ,0.87 ,,"Luo, 1996",Tree rings,,,,
346,Temperate,Temperate continental forest,Asia,"Changbaishan, Antu, Jilin, China","Picea, Abies",42.40 ,128.10 ,0.6 ,907 ,106.8 ,128.48 ,,142 ,0.83 ,,"Luo, 1996",Tree rings,,,,
347,Temperate,Temperate continental forest,Asia,"Dahai, Wangqing, Jilin, China","Picea, Abies",43.30 ,129.70 ,1.6 ,825 ,74.2 ,86.72 ,,132 ,0.86 ,,"Luo, 1996",Tree rings,,,,
348,Temperate,Temperate steppe,Asia,"Baiyin'aobao, Neimenggu, China","Picea, Abies",43.51 ,117.22 ,0.7 ,381 ,34.9 ,48.63 ,,170 ,0.72 ,,"Luo, 1996",Tree rings,,,,
349,Subtropical,Subtropical mountain system,Asia,"Changjiaba, Foping, Shaanxi, China","Picea, Abies",33.50 ,107.90 ,4.1 ,881 ,77.7 ,89.95 ,,80 ,0.86 ,,"Luo, 1996",Tree rings,,,,
350,Temperate,Temperate mountain system,Asia,"Qinling, Shaanxi, China","Picea, Abies",33.90 ,107.70 ,3.3 ,854 ,63.1 ,73.23 ,,125 ,0.86 ,,"Luo, 1996",Tree rings,,,,
351,Subtropical,Subtropical mountain system,Asia,"Xingjiangling, Yangxian, Shaanxi, China","Picea, Abies",33.20 ,107.50 ,4.0 ,902 ,56.3 ,65.81 ,,98 ,0.86 ,,"Luo, 1996",Tree rings,,,,
352,Subtropical,Subtropical mountain system,Asia,"Baiyu, Sichuan, China","Picea, Abies",31.20 ,98.80 ,4.9 ,549 ,77.4 ,97.58 ,,184 ,0.79 ,,"Luo, 1996",Tree rings,,,,
353,Subtropical,Subtropical mountain system,Asia,"Chuosixian, Jinchuan, Sichuan, China","Picea, Abies",31.70 ,101.60 ,3.1 ,670 ,129.0 ,155.76 ,,178 ,0.83 ,,"Luo, 1996",Tree rings,,,,
354,Subtropical,Subtropical mountain system,Asia,"Daofu, Sichuan, China","Picea, Abies",31.00 ,101.10 ,4.0 ,662 ,131.5 ,161.94 ,,165 ,0.81 ,,"Luo, 1996",Tree rings,,,,
355,Subtropical,Subtropical mountain system,Asia,"Lewuchuan, Ebian, Sichuan, China","Picea, Abies",28.80 ,103.00 ,7.6 ,929 ,281.3 ,322.95 ,,184 ,0.87 ,,"Luo, 1996",Tree rings,,,,
356,Subtropical,Subtropical mountain system,Asia,"Heishui, Sichuan, China","Picea, Abies",32.00 ,102.90 ,3.8 ,784 ,143.6 ,175.31 ,,166 ,0.82 ,,"Luo, 1996",Tree rings,,,,
357,Subtropical,Subtropical mountain system,Asia,"Jiulong, Sichuan, China","Picea, Abies",29.00 ,101.50 ,5.5 ,776 ,126.2 ,152.18 ,,169 ,0.83 ,,"Luo, 1996",Tree rings,,,,
358,Subtropical,Subtropical mountain system,Asia,"Lixian, Sichuan, China","Picea, Abies",31.40 ,103.10 ,7.0 ,833 ,130.9 ,160.66 ,,163 ,0.81 ,,"Luo, 1996",Tree rings,,,,
359,Subtropical,Subtropical mountain system,Asia,"Miyaluo, Lixian, Sichuan, China","Picea, Abies",31.60 ,102.80 ,6.1 ,795 ,136.0 ,167.31 ,,169 ,0.81 ,,"Luo, 1996",Tree rings,,,,
360,Subtropical,Subtropical mountain system,Asia,"Maerkang, Sichuan, China","Picea, Abies",32.00 ,102.60 ,3.9 ,754 ,167.1 ,199.50 ,,206 ,0.84 ,,"Luo, 1996",Tree rings,,,,
361,Subtropical,Subtropical mountain system,Asia,"Maerkang, Sichuan, China","Picea, Abies",31.90 ,102.20 ,3.4 ,717 ,117.1 ,140.75 ,,243 ,0.83 ,,"Luo, 1996",Tree rings,,,,
362,Subtropical,Subtropical mountain system,Asia,"Maerkang, Sichuan, China","Picea, Abies",31.80 ,102.20 ,4.0 ,723 ,179.8 ,226.05 ,,119 ,0.80 ,,"Luo, 1996",Tree rings,,,,
363,Subtropical,Subtropical humid forest,Asia,"Maoxian, Sichuan, China","Picea, Abies",31.60 ,103.80 ,5.2 ,899 ,113.6 ,143.43 ,,91 ,0.79 ,,"Luo, 1996",Tree rings,,,,
364,Subtropical,Subtropical mountain system,Asia,"Muli, Sichuan, China","Picea, Abies",27.90 ,101.20 ,5.9 ,799 ,106.0 ,131.94 ,,144 ,0.80 ,,"Luo, 1996",Tree rings,,,,
365,Subtropical,Subtropical mountain system,Asia,"Baihe, Nanping, Sichuan, China","Picea, Abies",33.25 ,103.77 ,4.0 ,832 ,96.7 ,121.59 ,,122 ,0.80 ,,"Luo, 1996",Tree rings,,,,
366,Temperate,Temperate mountain system,Asia,"Dalu, Nanping, Sichuan, China","Picea, Abies",33.63 ,103.76 ,3.7 ,817 ,105.2 ,126.33 ,,120 ,0.83 ,,"Luo, 1996",Tree rings,,,,
367,Temperate,Temperate mountain system,Asia,"Dalu, Nanping, Sichuan, China","Picea, Abies",33.52 ,104.90 ,3.6 ,961 ,105.1 ,129.89 ,,208 ,0.81 ,,"Luo, 1996",Tree rings,,,,
368,Temperate,Temperate mountain system,Asia,"Dalu, Nanping, Sichuan, China","Picea, Abies",33.57 ,103.67 ,3.8 ,809 ,94.3 ,116.69 ,,151 ,0.81 ,,"Luo, 1996",Tree rings,,,,
369,Temperate,Temperate mountain system,Asia,"Dalu, Nanping, Sichuan, China","Picea, Abies",33.65 ,103.75 ,4.0 ,814 ,133.7 ,165.82 ,,118 ,0.81 ,,"Luo, 1996",Tree rings,,,,
370,Temperate,Temperate mountain system,Asia,"Dalu, Nanping, Sichuan, China","Picea, Abies",33.52 ,103.76 ,3.8 ,821 ,70.2 ,87.49 ,,143 ,0.80 ,,"Luo, 1996",Tree rings,,,,
371,Temperate,Temperate mountain system,Asia,"Dalu, Nanping, Sichuan, China","Picea, Abies",33.62 ,103.73 ,3.5 ,814 ,73.4 ,91.76 ,,115 ,0.80 ,,"Luo, 1996",Tree rings,,,,
372,Temperate,Temperate mountain system,Asia,"Dalu, Nanping, Sichuan, China","Picea, Abies",33.67 ,103.77 ,3.7 ,816 ,78.8 ,98.49 ,,94 ,0.80 ,,"Luo, 1996",Tree rings,,,,
373,Temperate,Temperate mountain system,Asia,"Dalu, Nanping, Sichuan, China","Picea, Abies",33.58 ,103.73 ,3.8 ,815 ,63.9 ,80.24 ,,121 ,0.80 ,,"Luo, 1996",Tree rings,,,,
374,Subtropical,Subtropical mountain system,Asia,"Dalu, Nanping, Sichuan, China","Picea, Abies",33.30 ,103.75 ,4.0 ,828 ,90.4 ,113.70 ,,103 ,0.79 ,,"Luo, 1996",Tree rings,,,,
375,Temperate,Temperate mountain system,Asia,"Dalu, Nanping, Sichuan, China","Picea, Abies",33.60 ,103.33 ,2.7 ,769 ,94.9 ,119.43 ,,137 ,0.79 ,,"Luo, 1996",Tree rings,,,,
376,Temperate,Temperate mountain system,Asia,"Dalu, Nanping, Sichuan, China","Picea, Abies",33.60 ,103.74 ,3.7 ,816 ,58.0 ,73.10 ,,130 ,0.79 ,,"Luo, 1996",Tree rings,,,,
377,Subtropical,Subtropical mountain system,Asia,"Dalu, Nanping, Sichuan, China","Picea, Abies",32.60 ,103.76 ,4.4 ,855 ,92.0 ,116.02 ,,210 ,0.79 ,,"Luo, 1996",Tree rings,,,,
378,Temperate,Temperate mountain system,Asia,"Heihe, Nanping, Sichuan, China","Picea, Abies",33.55 ,104.55 ,3.6 ,917 ,127.2 ,159.11 ,,143 ,0.80 ,,"Luo, 1996",Tree rings,,,,
379,Temperate,Temperate mountain system,Asia,"Heihe, Nanping, Sichuan, China","Picea, Abies",33.57 ,104.66 ,3.6 ,929 ,96.6 ,121.68 ,,156 ,0.79 ,,"Luo, 1996",Tree rings,,,,
380,Temperate,Temperate mountain system,Asia,"Heihe, Nanping, Sichuan, China","Picea, Abies",33.67 ,104.04 ,3.6 ,848 ,117.9 ,149.73 ,,162 ,0.79 ,,"Luo, 1996",Tree rings,,,,
381,Subtropical,Subtropical mountain system,Asia,"Jiuzhai, Nanping, Sichuan, China","Picea, Abies",33.01 ,104.03 ,4.1 ,872 ,80.0 ,98.59 ,,171 ,0.81 ,,"Luo, 1996",Tree rings,,,,
382,Temperate,Temperate mountain system,Asia,"Lingjiang, Nanping, Sichuan, China","Picea, Abies",33.42 ,103.88 ,3.9 ,839 ,89.1 ,112.02 ,,134 ,0.80 ,,"Luo, 1996",Tree rings,,,,
383,Temperate,Temperate mountain system,Asia,"Lingjiang, Nanping, Sichuan, China","Picea, Abies",33.47 ,103.53 ,3.0 ,797 ,89.5 ,113.05 ,,134 ,0.79 ,,"Luo, 1996",Tree rings,,,,
384,Subtropical,Subtropical mountain system,Asia,"Lingjiang, Nanping, Sichuan, China","Picea, Abies",33.38 ,104.10 ,3.8 ,865 ,62.2 ,80.27 ,,114 ,0.77 ,,"Luo, 1996",Tree rings,,,,
385,Subtropical,Subtropical mountain system,Asia,"Longkang, Nanping, Sichuan, China","Picea, Abies",33.23 ,103.70 ,3.9 ,825 ,85.2 ,105.19 ,,169 ,0.81 ,,"Luo, 1996",Tree rings,,,,
386,Subtropical,Subtropical mountain system,Asia,"Majia, Nanping, Sichuan, China","Picea, Abies",33.07 ,104.12 ,4.0 ,880 ,109.0 ,133.95 ,,170 ,0.81 ,,"Luo, 1996",Tree rings,,,,
387,Temperate,Temperate mountain system,Asia,"Heihe, Nanping, Sichuan, China","Picea, Abies",33.65 ,104.05 ,3.7 ,850 ,122.8 ,152.48 ,,171 ,0.81 ,,"Luo, 1996",Tree rings,,,,
388,Temperate,Temperate mountain system,Asia,"Heihe, Nanping, Sichuan, China","Picea, Abies",33.68 ,104.03 ,3.6 ,846 ,105.8 ,133.15 ,,169 ,0.79 ,,"Luo, 1996",Tree rings,,,,
389,Temperate,Temperate mountain system,Asia,"Heihe, Nanping, Sichuan, China","Picea, Abies",33.60 ,104.41 ,3.6 ,896 ,80.0 ,101.07 ,,121 ,0.79 ,,"Luo, 1996",Tree rings,,,,
390,Temperate,Temperate mountain system,Asia,"Heihe, Nanping, Sichuan, China","Picea, Abies",33.63 ,104.05 ,3.7 ,850 ,88.9 ,112.79 ,,121 ,0.79 ,,"Luo, 1996",Tree rings,,,,
391,Subtropical,Subtropical mountain system,Asia,"Lingjiang, Nanping, Sichuan, China","Picea, Abies",33.17 ,103.92 ,4.1 ,853 ,86.3 ,108.01 ,,152 ,0.80 ,,"Luo, 1996",Tree rings,,,,
392,Subtropical,Subtropical mountain system,Asia,"Yonghe, Nanping, Sichuan, China","Picea, Abies",33.33 ,104.15 ,3.9 ,873 ,59.0 ,73.63 ,,128 ,0.80 ,,"Luo, 1996",Tree rings,,,,
393,Temperate,Temperate mountain system,Asia,"Baxi, Ruo'ergai, Sichuan, China","Picea, Abies",33.53 ,103.34 ,2.6 ,772 ,84.1 ,105.76 ,,148 ,0.80 ,,"Luo, 1996",Tree rings,,,,
394,Temperate,Temperate mountain system,Asia,"Baxi, Ruo'ergai, Sichuan, China","Picea, Abies",33.55 ,103.30 ,2.6 ,767 ,96.5 ,121.55 ,,148 ,0.79 ,,"Luo, 1996",Tree rings,,,,
395,Temperate,Temperate mountain system,Asia,"Baxi, Ruo'ergai, Sichuan, China","Picea, Abies",33.38 ,103.32 ,2.7 ,776 ,74.4 ,94.55 ,,138 ,0.79 ,,"Luo, 1996",Tree rings,,,,
396,Temperate,Temperate mountain system,Asia,"Baozuo, Ruo'ergai, Sichuan, China","Picea, Abies",33.47 ,103.46 ,2.9 ,788 ,107.3 ,133.34 ,,146 ,0.80 ,,"Luo, 1996",Tree rings,,,,
397,Temperate,Temperate mountain system,Asia,"Baozuo, Ruo'ergai, Sichuan, China","Picea, Abies",33.35 ,103.41 ,2.7 ,788 ,144.6 ,180.04 ,,150 ,0.80 ,,"Luo, 1996",Tree rings,,,,
398,Subtropical,Subtropical mountain system,Asia,"Baozuo, Ruo'ergai, Sichuan, China","Picea, Abies",33.32 ,103.61 ,3.5 ,811 ,88.6 ,110.39 ,,129 ,0.80 ,,"Luo, 1996",Tree rings,,,,
